No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
193	Movie Play button	:ref:`CrDeviceProperty_MoviePlayButton<dp-MoviePlayButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
194	Movie Play Pause button	:ref:`CrDeviceProperty_MoviePlayPauseButton<dp-MoviePlayPauseButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
195	Movie Play Stop button	:ref:`CrDeviceProperty_MoviePlayStopButton<dp-MoviePlayStopButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
196	Movie Forward button	:ref:`CrDeviceProperty_MovieForwardButton<dp-MovieForwardButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
197	Movie Rewind button	:ref:`CrDeviceProperty_MovieRewindButton<dp-MovieRewindButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
198	Movie Next button	:ref:`CrDeviceProperty_MovieNextButton<dp-MovieNextButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
199	Movie Prev button	:ref:`CrDeviceProperty_MoviePrevButton<dp-MoviePrevButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
200	Movie RecReview button	:ref:`CrDeviceProperty_MovieRecReviewButton<dp-MovieRecReviewButton>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
201	Subject Recognition AF	:ref:`CrDeviceProperty_SubjectRecognitionAF<dp-SubjectRecognitionAF>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
202	AF Transition Speed	:ref:`CrDeviceProperty_AFTransitionSpeed<dp-AFTransitionSpeed>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
203	AF Subj Shift Sens	:ref:`CrDeviceProperty_AFSubjShiftSens<dp-AFSubjShiftSens>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
204	AF Assist	:ref:`CrDeviceProperty_AFAssist<dp-AFAssist>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔
205	ND Filter Switching Setting	:ref:`CrDeviceProperty_NDFilterSwitchingSetting<dp-NDFilterSwitchingSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
206	Function of Remote Touch Operation	:ref:`CrDeviceProperty_FunctionOfRemoteTouchOperation<dp-FunctionOfRemoteTouchOperation>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
207	Execute Remote Touch Operation(x,y)	:ref:`CrDeviceProperty_RemoteTouchOperation<dp-RemoteTouchOperation>`	R/T	\-	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
208	Movie Playing State	:ref:`CrDeviceProperty_MoviePlayingState<dp-MoviePlayingState>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
209	Movie Playing Speed	:ref:`CrDeviceProperty_MoviePlayingSpeed<dp-MoviePlayingSpeed>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
210	Media SLOT1 Player	:ref:`CrDeviceProperty_MediaSLOT1Player<dp-MediaSLOT1Player>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
211	Media SLOT2 Player	:ref:`CrDeviceProperty_MediaSLOT2Player<dp-MediaSLOT2Player>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
212	Battery Remain Display Unit	:ref:`CrDeviceProperty_BatteryRemainDisplayUnit<dp-BatteryRemainDisplayUnit>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\-
213	Battery Remaining in minutes	:ref:`CrDeviceProperty_BatteryRemainingInMinutes<dp-BatteryRemainingInMinutes>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
214	Battery Remaining in voltage	:ref:`CrDeviceProperty_BatteryRemainingInVoltage<dp-BatteryRemainingInVoltage>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
215	Power Source	:ref:`CrDeviceProperty_PowerSource<dp-PowerSource>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
216	DC voltage	:ref:`CrDeviceProperty_DCVoltage<dp-DCVoltage>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
217	Focus TouchSpot Status	:ref:`CrDeviceProperty_FocusTouchSpotStatus<dp-FocusTouchSpotStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
218	Focus Tracking Status	:ref:`CrDeviceProperty_FocusTrackingStatus<dp-FocusTrackingStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
219	Recorder Clip Name Create by The Next Rec.	:ref:`CrDeviceProperty_RecorderClipName<dp-RecorderClipName>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
220	Recorder Control Main Setting	:ref:`CrDeviceProperty_RecorderControlMainSetting<dp-RecorderControlMainSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
221	Recorder Control Proxy Setting	:ref:`CrDeviceProperty_RecorderControlProxySetting<dp-RecorderControlProxySetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\*1	\*1	✔	\-	\-	\-	✔	✔	✔	✔	\-	✔	✔
222	Recorder Start Main	:ref:`CrDeviceProperty_RecorderStartMain<dp-RecorderStartMain>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
223	Recorder Start Proxy	:ref:`CrDeviceProperty_RecorderStartProxy<dp-RecorderStartProxy>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
224	Recorder Main Status	:ref:`CrDeviceProperty_RecorderMainStatus<dp-RecorderMainStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
225	Recorder Proxy Status	:ref:`CrDeviceProperty_RecorderProxyStatus<dp-RecorderProxyStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
226	Recorder Ext Raw Status	:ref:`CrDeviceProperty_RecorderExtRawStatus<dp-RecorderExtRawStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-
227	Information of Recorder Save Destination	:ref:`CrDeviceProperty_RecorderSaveDestination<dp-RecorderSaveDestination>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	\-
228	Assignable Button Indicator 1	:ref:`CrDeviceProperty_AssignableButtonIndicator1<dp-AssignableButtonIndicator1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
229	Assignable Button Indicator 2	:ref:`CrDeviceProperty_AssignableButtonIndicator2<dp-AssignableButtonIndicator2>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
230	Assignable Button Indicator 3	:ref:`CrDeviceProperty_AssignableButtonIndicator3<dp-AssignableButtonIndicator3>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
231	Assignable Button Indicator 4	:ref:`CrDeviceProperty_AssignableButtonIndicator4<dp-AssignableButtonIndicator4>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
232	Assignable Button Indicator 5	:ref:`CrDeviceProperty_AssignableButtonIndicator5<dp-AssignableButtonIndicator5>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
233	Assignable Button Indicator 6	:ref:`CrDeviceProperty_AssignableButtonIndicator6<dp-AssignableButtonIndicator6>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
234	Assignable Button Indicator 7	:ref:`CrDeviceProperty_AssignableButtonIndicator7<dp-AssignableButtonIndicator7>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
235	Assignable Button Indicator 8	:ref:`CrDeviceProperty_AssignableButtonIndicator8<dp-AssignableButtonIndicator8>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
236	Assignable Button Indicator 9	:ref:`CrDeviceProperty_AssignableButtonIndicator9<dp-AssignableButtonIndicator9>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
237	LensAssignable Button Indicator 1	:ref:`CrDeviceProperty_LensAssignableButtonIndicator1<dp-LensAssignableButtonIndicator1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\*1	\*1
238	Software Version	:ref:`CrDeviceProperty_SoftwareVersion<dp-SoftwareVersion>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
239	Movie Rec Button (2nd) Enable Status	:ref:`CrDeviceProperty_MovieRecButtonToggleEnableStatus<dp-MovieRecButtonToggleEnableStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
240	Remote Touch Operation Enable Status	:ref:`CrDeviceProperty_RemoteTouchOperationEnableStatus<dp-RemoteTouchOperationEnableStatus>`	R/T	\-	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
241	Cancel Remote Touch Operation Enable Status	:ref:`CrDeviceProperty_CancelRemoteTouchOperationEnableStatus<dp-CancelRemoteTouchOperationEnableStatus>`	R/T	\-	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
242	Lens Information Enable Status	:ref:`CrDeviceProperty_LensInformationEnableStatus<dp-LensInformationEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
243	Follow Focus Position	:ref:`CrDeviceProperty_FollowFocusPositionSetting<dp-FollowFocusPositionSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
244	Follow Focus Position Current Value	:ref:`CrDeviceProperty_FollowFocusPositionCurrentValue<dp-FollowFocusPositionCurrentValue>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
245	Focus Bracket Shot Number	:ref:`CrDeviceProperty_FocusBracketShotNumber<dp-FocusBracketShotNumber>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
246	Focus Bracket Focus Range	:ref:`CrDeviceProperty_FocusBracketFocusRange<dp-FocusBracketFocusRange>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
247	Focus Bracket Shooting Status	:ref:`CrDeviceProperty_FocusBracketShootingStatus<dp-FocusBracketShootingStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
248	Function of Touch Operation	:ref:`CrDeviceProperty_FunctionOfTouchOperation<dp-FunctionOfTouchOperation>`	R/T	\-	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
249	Proxy File Format(Movie)	:ref:`CrDeviceProperty_Movie_ProxyFileFormat<dp-Movie_ProxyFileFormat>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\*1	\*1	✔	✔	✔	✔	\*1	\*1	✔	✔	\-	\*1	\*1
250	Extended Interface Mode	:ref:`CrDeviceProperty_ExtendedInterfaceMode<dp-ExtendedInterfaceMode>`	R/T	✔	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
251	S&Q Frame Rate	:ref:`CrDeviceProperty_SQFrameRate<dp-SQFrameRate>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\*1	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
252	S&Q Recording Frame Rate Setting	:ref:`CrDeviceProperty_SQRecordingFrameRateSetting<dp-SQRecordingFrameRateSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
253	S&Q Recording Setting	:ref:`CrDeviceProperty_SQRecordingSetting<dp-SQRecordingSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
254	Audio Recording	:ref:`CrDeviceProperty_AudioRecording<dp-AudioRecording>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
255	Audio Input Master Level	:ref:`CrDeviceProperty_AudioInputMasterLevel<dp-AudioInputMasterLevel>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	✔
256	Time Code Preset	:ref:`CrDeviceProperty_TimeCodePreset<dp-TimeCodePreset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
257	Time Code Format	:ref:`CrDeviceProperty_TimeCodeFormat<dp-TimeCodeFormat>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
258	Time Code Run	:ref:`CrDeviceProperty_TimeCodeRun<dp-TimeCodeRun>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
259	Time Code Make	:ref:`CrDeviceProperty_TimeCodeMake<dp-TimeCodeMake>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
260	User Bit Preset	:ref:`CrDeviceProperty_UserBitPreset<dp-UserBitPreset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
261	User Bit Time Rec	:ref:`CrDeviceProperty_UserBitTimeRec<dp-UserBitTimeRec>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
262	Image Stabilization Steady Shot	:ref:`CrDeviceProperty_ImageStabilizationSteadyShot<dp-ImageStabilizationSteadyShot>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
263	Image Stabilization Steady Shot(Movie)	:ref:`CrDeviceProperty_Movie_ImageStabilizationSteadyShot<dp-Movie_ImageStabilizationSteadyShot>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
264	Silent Mode	:ref:`CrDeviceProperty_SilentMode<dp-SilentMode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
265	Silent Mode Aperture Drive in AF	:ref:`CrDeviceProperty_SilentModeApertureDriveInAF<dp-SilentModeApertureDriveInAF>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
266	Silent Mode Shutter When Power Off	:ref:`CrDeviceProperty_SilentModeShutterWhenPowerOff<dp-SilentModeShutterWhenPowerOff>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
267	Silent Mode Auto Pixel Mapping	:ref:`CrDeviceProperty_SilentModeAutoPixelMapping<dp-SilentModeAutoPixelMapping>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
268	Shutter Type	:ref:`CrDeviceProperty_ShutterType<dp-ShutterType>`	R/T	✔	✔	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
269	Picture Profile	:ref:`CrDeviceProperty_PictureProfile<dp-PictureProfile>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
270	Picture Profile Black Level	:ref:`CrDeviceProperty_PictureProfile_BlackLevel<dp-PictureProfile_BlackLevel>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
271	Picture Profile Gamma	:ref:`CrDeviceProperty_PictureProfile_Gamma<dp-PictureProfile_Gamma>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
272	Picture Profile Black Gamma Range	:ref:`CrDeviceProperty_PictureProfile_BlackGammaRange<dp-PictureProfile_BlackGammaRange>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
273	Picture Profile Black Gamma Level	:ref:`CrDeviceProperty_PictureProfile_BlackGammaLevel<dp-PictureProfile_BlackGammaLevel>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
274	Picture Profile Knee Mode	:ref:`CrDeviceProperty_PictureProfile_KneeMode<dp-PictureProfile_KneeMode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
275	Picture Profile Knee AutoSet MaxPoint	:ref:`CrDeviceProperty_PictureProfile_KneeAutoSet_MaxPoint<dp-PictureProfile_KneeAutoSet_MaxPoint>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
276	Picture Profile Knee AutoSet Sensitivity	:ref:`CrDeviceProperty_PictureProfile_KneeAutoSet_Sensitivity<dp-PictureProfile_KneeAutoSet_Sensitivity>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
277	Picture Profile Knee ManualSet Point	:ref:`CrDeviceProperty_PictureProfile_KneeManualSet_Point<dp-PictureProfile_KneeManualSet_Point>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
278	Picture Profile Knee ManualSet Slope	:ref:`CrDeviceProperty_PictureProfile_KneeManualSet_Slope<dp-PictureProfile_KneeManualSet_Slope>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
279	Picture Profile Color Mode	:ref:`CrDeviceProperty_PictureProfile_ColorMode<dp-PictureProfile_ColorMode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
280	Picture Profile Saturation	:ref:`CrDeviceProperty_PictureProfile_Saturation<dp-PictureProfile_Saturation>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
281	Picture Profile Color Phase	:ref:`CrDeviceProperty_PictureProfile_ColorPhase<dp-PictureProfile_ColorPhase>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
282	Picture Profile Color Depth Red	:ref:`CrDeviceProperty_PictureProfile_ColorDepthRed<dp-PictureProfile_ColorDepthRed>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
283	Picture Profile Color Depth Green	:ref:`CrDeviceProperty_PictureProfile_ColorDepthGreen<dp-PictureProfile_ColorDepthGreen>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
284	Picture Profile Color Depth Blue	:ref:`CrDeviceProperty_PictureProfile_ColorDepthBlue<dp-PictureProfile_ColorDepthBlue>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
285	Picture Profile Color Depth Cyan	:ref:`CrDeviceProperty_PictureProfile_ColorDepthCyan<dp-PictureProfile_ColorDepthCyan>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
286	Picture Profile Color Depth Magenta	:ref:`CrDeviceProperty_PictureProfile_ColorDepthMagenta<dp-PictureProfile_ColorDepthMagenta>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
